rowNo,subjectGroup,type,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,block,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode,id,age,sex,handedness,fps_start,fps_M,fps_SD
285,3,test,bat_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,bat,,700,42,16.67,400,24,16.67,346141,2,1665,,913842135,,,,,,
280,3,test,crocodile_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,crocodile,,700,42,16.67,400,24,16.67,348507,3,1665,,913842135,,,,,,
309,3,test,guitar_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,guitar,,700,42,16.67,400,24,16.67,350910,3,1701,,913842135,,,,,,
268,3,test,stapler_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,stapler,,700,42,16.67,400,24,16.67,355575,3,3966,,913842135,,,,,,
289,3,test,radio_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,radio,,700,42,16.67,400,24,16.67,357556,4,1280,,913842135,,,,,,
282,3,test,bear_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,bear,,700,42,16.67,400,24,16.67,360697,1,2437,,913842135,,,,,,
305,3,test,leopard_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,leopard,,700,42,16.67,400,24,16.67,364484,4,3091,,913842135,,,,,,
311,3,test,camera_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,camera,,701,42,16.67,400,24,16.67,367633,2,2456,,913842135,,,,,,
290,3,test,walkie_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,walkie,,700,42,16.68,400,24,16.67,370091,4,1764,,913842135,,,,,,
274,3,test,door_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,inanimate,door,,700,42,16.67,400,24,16.67,372964,3,2170,,913842135,,,,,,
271,3,test,snake_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,snake,,700,42,16.67,400,24,16.67,375511,2,1847,,913842135,,,,,,
293,3,test,chicken_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,chicken,,700,42,16.67,400,24,16.67,378314,2,2102,,913842135,,,,,,
310,3,test,washer_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,washer,,700,42,16.67,400,24,16.67,380933,1,1922,,913842135,,,,,,
266,3,test,cow_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,congruent,animate,cow,,700,42,16.67,400,24,16.67,383188,4,1559,,913842135,,,,,,
263,3,test,penguin_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,animate,penguin,,700,42,16.67,400,24,16.67,386642,3,2763,,913842135,,,,,,
291,3,test,bus_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,bus,,700,42,16.67,400,24,16.67,388793,4,1448,,913842135,,,,,,
294,3,test,butterfly_4,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,butterfly,,700,42,16.67,400,24,16.67,391287,4,1792,,913842135,,,,,,
276,3,test,coins_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,coins,,700,42,16.67,400,24,16.67,393369,4,1391,,913842135,,,,,,
277,3,test,hammer_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,inanimate,hammer,,700,42,16.67,400,24,16.67,395520,2,1457,,913842135,,,,,,
270,3,test,horse_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,horse,,700,42,16.67,400,24,16.67,397701,2,1489,,913842135,,,,,,
283,3,test,deer_4,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,incongruent,animate,deer,,700,42,16.67,400,24,16.67,401187,4,2792,,913842135,,,,,,
273,3,test,piano_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,piano,,700,42,16.67,400,24,16.67,404693,3,2813,,913842135,,,,,,
262,3,test,crab_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,crab,,700,42,16.67,400,24,16.67,406912,4,1517,,913842135,,,,,,
314,3,test,camel_3,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,camel,,700,42,16.67,400,24,16.67,410434,4,2822,,913842135,,,,,,
292,3,test,record_player_1,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,inanimate,record_player,,700,42,16.67,400,24,16.67,413012,4,1882,,913842135,,,,,,
301,3,test,smartphone_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,control,inanimate,smartphone,,700,42,16.67,400,24,16.67,416392,2,2678,,913842135,,,,,,
297,3,test,shark_2,.png,,6,400,700,,,,same,different,nonsense,new,,,recognition,new,animate,shark,,700,42,16.67,400,24,16.67,420335,2,3255,,913842135,,,,,,
316,0,test,1/10: Was the volume on your computer enabled throughout the entire first task?,word,,,,,,,,Yes,No,,,,,,,,,,,42,16.67,,,,428098,1,3394,,913842135,,,,,,
317,0,test,2/10: Did you adjust your volume at any time during the experiment?,word,,,,,,,,Yes,No,,,,,,,,,,,0,0,,,,430384,2,2271,,913842135,,,,,,
318,0,test,3/10: How would you describe the volume of the sounds during the first task?,word,,,,,,,,Quiet,Loud,Just right,I did not hear sounds,,,,,,,,,0,0,,,,434295,3,3897,,913842135,,,,,,
319,0,test,"4/10: Did you use external speakers, in-ear headphones, over-ear headphones?",word,,,,,,,,External speakers,In-ear headphones,Over-ear headphones,Other,I did not hear sounds,,,,,,,,0,0,,,,437717,2,3402,,913842135,,,,,,
320,0,test,5/10: How would you describe the environment in which you completed the study?,word,,,,,,,,Quiet,Mostly quiet,Somewhat noisy,Very noisy,,,,,,,,,0,0,,,,441299,2,3567,,913842135,,,,,,
321,0,test,6/10: Did you experience distractions during the study?,word,,,,,,,,"Yes, major distractions","Yes, minor distractions",No,,,,,,,,,,0,0,,,,443859,3,2546,,913842135,,,,,,
322,0,test,7/10: How much effort did you put into the experiment?,word,,,,,,,,Not any,Not very much,Some Effort,A lot of effort,,,,,,,,,0,0,,,,446719,4,2847,,913842135,,,,,,
323,0,test,8/10: How difficult did you find task 1?,word,,,,,,,,Not difficult at all,A little difficult,Very difficult,,,,,,,,,,0,0,,,,452371,1,5639,,913842135,,,,,,
324,0,test,9/10: How difficult did you find task 2?,word,,,,,,,,Not difficult at all,A little difficult,Very difficult,,,,,,,,,,0,0,,,,454566,3,2182,,913842135,,,,,,
325,0,test,"10/10: In the first task, did you ever experience a lag or gap between when the picture was shown and when the sound started?",word,,,,,,,,"Yes, a couple of times","Yes, often or always",No,I did not hear sounds,,,,,,,,,0,0,,,,459200,3,4620,,913842135,,,,,,
