browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,link,calibration
Chrome,84.0.4147.105,2560,1440,MacOS,en-US,2020-08-07_20:27:19,2020-08-07_13:27:19,https://www.testable.org/experiment/4629/283054/start,0.86

rowNo,type,stim1,stimFormat,ITI,responseType,responseOptions,trialText,object_shown,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,responseCode
152,test,door_3,.png,"800",slider,0_10_1,How typical is this orientation?,door,801,48,"16.68",844849,"8",18399,8
153,test,door_4,.png,"800",slider,0_10_1,How typical is this orientation?,door,801,48,"16.68",853704,"4",8037,4
154,test,door_5,.png,"800",slider,0_10_1,How typical is this orientation?,door,801,48,"16.68",858696,"10",4173,10
155,test,pig_1,.png,"800",slider,0_10_1,How typical is this orientation?,pig,801,48,"16.68",862716,"8",3204,8
156,test,pig_2,.png,"800",slider,0_10_1,How typical is this orientation?,pig,801,48,"16.68",865326,"5",1794,5
157,test,pig_3,.png,"800",slider,0_10_1,How typical is this orientation?,pig,801,48,"16.68",868131,"10",1983,10
158,test,pig_4,.png,"800",slider,0_10_1,How typical is this orientation?,pig,801,48,"16.68",870806,"10",1855,10
159,test,pig_5,.png,"800",slider,0_10_1,How typical is this orientation?,pig,801,48,"16.68",873803,"7",2184,7
160,test,stapler_1,.png,"800",slider,0_10_1,How typical is this orientation?,stapler,801,48,"16.68",876844,"10",2220,10
161,test,stapler_2,.png,"800",slider,0_10_1,How typical is this orientation?,stapler,801,48,"16.68",881238,"10",3579,10
162,test,stapler_3,.png,"800",slider,0_10_1,How typical is this orientation?,stapler,801,48,"16.68",884515,"10",2469,10
163,test,stapler_4,.png,"800",slider,0_10_1,How typical is this orientation?,stapler,801,48,"16.68",887022,"10",1689,10
164,test,stapler_5,.png,"800",slider,0_10_1,How typical is this orientation?,stapler,801,48,"16.68",890899,"6",3067,6
165,test,deer_1,.png,"800",slider,0_10_1,How typical is this orientation?,deer,801,48,"16.68",895066,"5",3345,5
166,test,deer_2,.png,"800",slider,0_10_1,How typical is this orientation?,deer,801,48,"16.68",897868,"5",1994,5
167,test,deer_3,.png,"800",slider,0_10_1,How typical is this orientation?,deer,801,48,"16.68",900800,"6",2125,6
168,test,deer_4,.png,"800",slider,0_10_1,How typical is this orientation?,deer,801,48,"16.68",903940,"10",2329,10
169,test,deer_5,.png,"800",slider,0_10_1,How typical is this orientation?,deer,801,48,"16.68",906856,"10",2107,10
170,test,watering_can_1,.png,"800",slider,0_10_1,How typical is this orientation?,watering_can,799,48,"16.64",910710,"10",3045,10
171,test,watering_can_2,.png,"800",slider,0_10_1,How typical is this orientation?,watering_can,801,48,"16.68",913170,"9",1649,9
172,test,watering_can_3,.png,"800",slider,0_10_1,How typical is this orientation?,watering_can,801,48,"16.68",915764,"10",1776,10
173,test,watering_can_4,.png,"800",slider,0_10_1,How typical is this orientation?,watering_can,801,48,"16.68",919818,"8",3243,8
174,test,watering_can_5,.png,"800",slider,0_10_1,How typical is this orientation?,watering_can,801,48,"16.68",922893,"9",2266,9
175,test,salamander_1,.png,"800",slider,0_10_1,How typical is this orientation?,salamander,801,48,"16.68",935807,"8",12094,8
176,test,salamander_2,.png,"800",slider,0_10_1,How typical is this orientation?,salamander,801,48,"16.68",939509,"8",2886,8
177,test,salamander_3,.png,"800",slider,0_10_1,How typical is this orientation?,salamander,801,48,"16.68",942330,"8",2002,8
178,test,salamander_4,.png,"800",slider,0_10_1,How typical is this orientation?,salamander,799,48,"16.65",944794,"9",1650,9
179,test,salamander_5,.png,"800",slider,0_10_1,How typical is this orientation?,salamander,801,48,"16.68",947535,"9",1921,9
180,test,goose_1,.png,"800",slider,0_10_1,How typical is this orientation?,goose,801,48,"16.68",965214,"10",16863,10
